seed,ari,nmi,time_sec,final_k,label_k,active_dims,split_count
1,0.8820367272557881,0.8517208508690568,1.0991567050000413,3,3,10,2
2,0.8319281215759108,0.8204036600446414,1.205812688000151,3,3,10,2
3,0.8820367272557881,0.8517208508690568,0.8175951840003108,3,3,10,2
4,0.8319281215759108,0.8204036600446414,0.6921380379999391,3,3,10,2
5,0.8651719100480858,0.8350790212648712,0.649190057999931,3,3,11,2
