,ari,nmi,time_sec,final_k,label_k,active_dims,split_count
mean,0.8586203215422967,0.8358656086184535,0.8927785346000746,3.0,3.0,10.2,2.0
std,0.02532057712176954,0.015664768117609248,0.2479046295595722,0.0,0.0,0.4472135954999579,0.0
