dataset,dataset_variant,split_name,method,prior_mode,N,tau_mult,Tsplit,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,DIVI,1.0,200,1.0,120,0.41930393949086275,0.15332210807629723,0.4375810159898048,0.46643408731709857,0.15440096789000518,0.49410677430825345,0.24301104978366977,0.03808948507640128,0.2298850574712643,0.6917500000000001,0.10813338498062666,0.7075,3.0,0.0,3.0,73.0,10.503132364855935,77.0,0.73,0.10503132364855934,0.77,0.5549363268500429,0.08690102987878291,0.5243762890002017,450.837109375,0.5390298724393507,450.658203125,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,DIVI,1.0,1000,1.0,120,0.7120592467609134,0.26137103877612394,0.6288010107083596,0.7311852154851955,0.24353280581999645,0.6497257535313765,0.25387916454095916,0.030895274229736213,0.25003906860446945,0.85215,0.14428745978993318,0.841,3.0,0.0,3.0,69.9,9.765136698318264,70.0,0.6990000000000001,0.09765136698318266,0.7,1.1186273465000114,0.13945247062021626,1.0638779205000901,462.569921875,3.2994117468040582,462.505859375,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,DIVI,2.0,200,1.0,120,0.30014666739923934,0.17034940854388178,0.35234485124716425,0.3412824308652581,0.1893081186141152,0.4027551084443038,0.1818181818181818,0.0,0.1818181818181818,0.6155,0.10305721456397028,0.6225,3.0,0.0,3.0,100.0,0.0,100.0,1.0,0.0,1.0,0.41364150580000114,0.04622332113907309,0.39904756900000393,450.6767578125,0.3894779107419311,450.685546875,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,DIVI,2.0,1000,1.0,120,0.46422085657818907,0.21009493920134575,0.4983303368271075,0.5020066896972654,0.20955283195377897,0.5506652294415102,0.1818181818181818,0.0,0.1818181818181818,0.7007,0.1350442812366997,0.696,3.0,0.0,3.0,100.0,0.0,100.0,1.0,0.0,1.0,0.9402952695500744,0.1630612977218245,0.8873333995002213,461.9958984375,4.728373992761899,462.31640625,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,DIVI,3.0,200,1.0,120,0.19495150063456476,0.20616976885265326,0.06111852220444135,0.22044979580473995,0.21678100429846708,0.0891530398991157,0.18097813673805743,0.04405379749776308,0.19162363740676985,0.54075,0.14233277353109028,0.47,3.0,0.0,3.0,70.5,4.751730986537543,71.5,0.705,0.04751730986537542,0.715,0.4182978577499853,0.04139707080213789,0.4051867194998522,450.604296875,0.7709228000659973,450.685546875,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,DIVI,3.0,1000,1.0,120,0.29749006231536795,0.2656100263235181,0.2366677516385295,0.33427809090037985,0.2759076606005246,0.2884203634886493,0.18241511110628977,0.044939803987438576,0.19162363740676985,0.58685,0.17163709419954407,0.559,3.0,0.0,3.0,70.4,4.717269504591333,71.0,0.704,0.04717269504591334,0.71,0.943835759950025,0.12951584749546888,0.913471568499972,463.8779296875,3.762638011201492,464.482421875,2.0,0.0,2.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,gmm_oracle,,200,1.0,120,0.30677342403542074,0.17564222971707757,0.36714190865360286,0.34878517087271377,0.19375974171530272,0.40952745212932284,,,,0.6155,0.11111752905441112,0.6575,3.0,0.0,3.0,,,,,,,,,,449.8732421875,1.552439587417732,450.5859375,0.0,0.0,0.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,gmm_oracle,,1000,1.0,120,0.4972095120944725,0.006933963775020578,0.4967548661034694,0.5646525219841649,0.00858523035799658,0.5652024417808668,,,,0.6860999999999999,0.020550067230009107,0.6795,3.0,0.0,3.0,,,,,,,,,,459.68046875,6.029427571421805,460.595703125,0.0,0.0,0.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,kmeans_oracle,,200,1.0,120,0.2831052371775339,0.08037675399538495,0.28547350679993694,0.3073106066876886,0.08397663121099112,0.3146913277811648,,,,0.60875,0.060932987349779755,0.61,3.0,0.0,3.0,,,,,,,,,,449.8732421875,1.552439587417732,450.5859375,0.0,0.0,0.0
synthetic_correlated_noise,rho0.6_block10_noise3,correlated_noise,kmeans_oracle,,1000,1.0,120,0.3808974582506646,0.03653487090451143,0.38501513875512805,0.4072569232389093,0.03777166834817448,0.40852652761150954,,,,0.6494500000000001,0.016073760900103148,0.6485000000000001,3.0,0.0,3.0,,,,,,,,,,459.6802734375,6.029767034558123,460.595703125,0.0,0.0,0.0
