dataset,method,runtime_axis,runtime_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
isolet,divi,dataset,isolet,0.4596944586850757,0.1429027900037728,0.4121970501643345,0.5849857852455606,0.12208441231078024,0.5902539666079768,,,,0.5925283522348233,0.09608419290556659,0.5570380253502335,4.0,0.0,4.0,578.0,1.7320508075688712,579.0,0.9367909238249595,0.0028072136265298174,0.9384116693679092,22.261035705599898,1.1430737211521327,22.14845703999981,691.8359375,19.483479079241725,688.328125,3.0,0.0,3.0
isolet,gmm_oracle,dataset,isolet,0.5797939145392411,0.11168264042066603,0.6304310304785326,0.6837266445751414,0.06790723583354816,0.7147633429295881,,,,0.70527018012008,0.10563177775091061,0.7505003335557038,5.0,0.0,5.0,,,,,,,2.809199,0.7542204480664124,2.360428,681.9921875,13.57847786149671,684.9375,0.0,0.0,0.0
isolet,kmeans_oracle,dataset,isolet,0.631979323122541,0.001271655642199395,0.6325398386786752,0.7156185010034586,0.0007953527347141127,0.7155228258534756,,,,0.752234823215477,0.0010117245422350265,0.752501667778519,5.0,0.0,5.0,,,,,,,0.5869506,0.04133979352028747,0.608913,680.68046875,14.812745271736468,684.9375,0.0,0.0,0.0
isolet,spkm,dataset,isolet,0.551433696762814,0.0,0.551433696762814,0.6395391257587981,0.0,0.6395391257587981,,,,0.7224816544362909,0.0,0.7224816544362909,5.0,0.0,5.0,23.0,0.0,23.0,0.0372771474878444,0.0,0.0372771474878444,9.2581806,0.6633188626100567,9.24915,681.9953125,13.57802228636352,684.94140625,0.0,0.0,0.0
