experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:15Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8885515279348168,0.914117942000205,0.3389830508474576,0.895,49,0.49,0.5038219690322876,0.4930189847946167,35319.5546875,32934.9375,2384.6171875,33722.0078125,15.97547721862793,0.9703239259997645,0.1348358779996488,0.8328184620004322,0.0029013929997745436,0.0020688770000560908,0.0027760615400014405,452.56640625,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:16Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8616460592758713,0.8866483854738683,0.3508771929824561,0.855,47,0.47,0.5004153251647949,0.48549598455429077,35320.26953125,32470.78125,2849.48828125,33767.5625,15.52706527709961,1.0474759709995851,0.12185479599975224,0.9229930080000486,0.0027527610000106506,0.0019950950008933432,0.003076643360000162,452.56640625,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:17Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.3333333333333333,0.845,50,0.5,0.5048994421958923,0.49878865480422974,35311.1953125,32634.060546875,2677.134765625,33699.50390625,16.116920471191406,0.9657697639995604,0.1177807739986747,0.8455052469998918,0.002598551000119187,0.0018328059995837975,0.002818350823332973,452.5703125,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:18Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8594139175704291,0.8856308807907846,0.3448275862068966,0.84,48,0.48,0.5058701038360596,0.48607563972473145,35306.33984375,32378.193359375,2928.146484375,33686.58203125,16.197568893432617,0.9099390920000587,0.1282880889993976,0.7788316910009598,0.0023662099993089214,0.0021097120006743353,0.002596105636669866,452.578125,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:19Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.3333333333333333,0.845,50,0.5,0.5057498812675476,0.49961358308792114,35318.5390625,32410.84375,2907.6953125,33694.73828125,16.23800277709961,0.8934226540004602,0.13535921900074754,0.7542724639988592,0.0025082069987547584,0.0031969869996828493,0.002514241546662864,452.5859375,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:20Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.3333333333333333,0.845,50,0.5,0.5065114498138428,0.5009838938713074,35313.21484375,32667.17578125,2646.0390625,33681.3125,16.31900978088379,0.9122737840007176,0.13144180299968866,0.7784117100000003,0.0026630920001480263,0.0017911169998114929,0.002594705700000001,452.5859375,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:21Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.3508771929824561,0.85,47,0.47,0.5070397853851318,0.49231934547424316,35322.62890625,32575.4296875,2747.19921875,33678.16015625,16.444673538208008,1.2450098509998497,0.12233525999909034,1.119538527000259,0.004572593001284986,0.0025428009994357126,0.003731795090000863,452.58984375,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:22Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8713184771469268,0.9059309964406863,0.3333333333333333,0.845,50,0.5,0.5023937225341797,0.5004609823226929,35302.8359375,33026.828125,2276.0078125,33726.421875,15.76413631439209,1.333646133000002,0.2032580080012849,1.1269058429988945,0.0034580379997350974,0.0027139659996464616,0.003756352809996315,452.28515625,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:23Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8752745873288594,0.9077570869667239,0.3389830508474576,0.865,49,0.49,0.5032013058662415,0.4940844178199768,35318.91015625,32725.611328125,2593.298828125,33723.83203125,15.95079231262207,1.0913136079998367,0.19254864100003033,0.896160375999898,0.0024674989999766694,0.0018701940007304074,0.002987201253332993,449.97265625,ok,False,,,beta_mult,0.5,1.0,True
sens_synth__synthetic_n200_d100_fixedseed3101__beta_mult__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T09:21:24Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_beta_mult,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,100.0,0.5,80,auto_entropy,141.89385332046726,1.0,0.01,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8768788468816415,0.9085063091968447,0.3333333333333333,0.87,50,0.5,0.5025151968002319,0.5019112825393677,35321.38671875,32531.078125,2790.30859375,33735.4375,15.859501838684082,0.8956447450000269,0.11952118699991843,0.7727334809987951,0.002264449998619966,0.0027852460007125046,0.002575778269995984,451.6796875,ok,False,,,beta_mult,0.5,1.0,True
