dataset_variant,sensitivity_factor,sensitivity_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_n1000_d100_fixedseed3102,tau_mult,0.9,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5744808567003927,0.20047364550397587,2.526954991000821,470.135546875,6.495698741393647,469.125,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,tau_mult,1.0,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5394244316998082,0.14179795834762032,2.4858457614991494,469.2,5.798825690993936,470.796875,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,tau_mult,1.1,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.7351251001002312,0.22559043245726873,2.6875840920001792,468.360546875,5.212440128932949,468.216796875,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,tau_mult,1.2,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.6655624536999314,0.18138873319494644,2.5960585624989108,469.1859375,6.13739522692168,469.3125,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,tau_mult,0.9,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,1.1494371801998569,0.5633867374305078,0.9747195110003304,451.644921875,1.317621417691016,451.876953125,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,tau_mult,1.0,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,0.9885507171999052,0.17853854380347542,0.9178572730006636,450.378515625,1.644822929975867,451.06640625,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,tau_mult,1.1,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,0.9420690470997215,0.14816586366365858,0.872634313999697,450.9875,0.9458177741699187,451.26171875,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,tau_mult,1.2,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,0.9929203313000471,0.16045388047124426,0.9332143369992991,450.646484375,1.2445045895649995,451.162109375,3.0,0.0,3.0
