dataset_variant,sensitivity_factor,sensitivity_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_n1000_d100_fixedseed3102,Tsplit,10.0,0.41440054359769957,0.09640855648319328,0.4028224387211551,0.6181782026688987,0.048337924274045756,0.6095877385891669,1.0,0.0,1.0,0.4849,0.0894656358609271,0.48550000000000004,31.0,0.0,31.0,10.0,0.0,10.0,0.1,0.0,0.1,15.21231259940014,2.7867201123577647,14.501655282499996,522.67109375,38.77441589978037,506.65234375,30.0,0.0,30.0
synthetic_n1000_d100_fixedseed3102,Tsplit,20.0,0.4934148488286862,0.10514876653062616,0.5092255666941148,0.6648590957238751,0.045438168691500774,0.6631047712859193,1.0,0.0,1.0,0.5664,0.11515998533441298,0.5994999999999999,16.0,0.0,16.0,10.0,0.0,10.0,0.1,0.0,0.1,6.769985247999648,0.22660755864762747,6.82124448399918,506.644140625,14.285359904540996,506.287109375,15.0,0.0,15.0
synthetic_n1000_d100_fixedseed3102,Tsplit,40.0,0.6781282079061733,0.10253589982407063,0.6964793229887116,0.7716010561318672,0.03861450207358073,0.7723806699557261,1.0,0.0,1.0,0.7109,0.11806255404092635,0.716,8.0,0.0,8.0,10.0,0.0,10.0,0.1,0.0,0.1,3.6774849991998053,0.24644382483967703,3.6601856114994007,513.35859375,0.003081291553697526,513.359375,7.0,0.0,7.0
synthetic_n1000_d100_fixedseed3102,Tsplit,80.0,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.4327723086000335,0.312958594535982,2.3474768394999046,513.369921875,0.004889318582159473,513.37109375,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,Tsplit,10.0,0.18656341291792983,0.02189420124468214,0.19040785636117863,0.513950334150131,0.014278764554197763,0.5144264651233912,0.5925239792886852,0.023064498095505634,0.5882352941176471,0.2515,0.03274904578762562,0.2525,31.0,0.0,31.0,23.8,1.3165611772087666,24.0,0.238,0.013165611772087664,0.24,3.517972214299698,0.5059605072480176,3.4163603619999776,462.277734375,9.452556881817953,462.72265625,30.0,0.0,30.0
synthetic_n200_d100_fixedseed3101,Tsplit,20.0,0.2870388335072378,0.030733004550901135,0.28563308932147674,0.5825401251725258,0.011359438408382801,0.5810989369079826,0.596384008148714,0.028456766070178732,0.5882352941176471,0.33449999999999996,0.04815772696740021,0.33499999999999996,16.0,0.0,16.0,23.6,1.5055453054181618,24.0,0.236,0.015055453054181614,0.24,1.8855567534999864,0.19214982379517714,1.856694516000971,455.29140625,2.891237969918412,454.48828125,15.0,0.0,15.0
synthetic_n200_d100_fixedseed3101,Tsplit,40.0,0.5073291162144917,0.02413353409822287,0.4958014876149804,0.7073131249364428,0.011255832251850605,0.7068485903211557,0.572349769253794,0.024064274766281056,0.5714285714285714,0.5365,0.04830746434156018,0.5175000000000001,8.0,0.0,8.0,25.0,1.4907119849998607,25.0,0.25,0.01490711984999861,0.25,1.3148380746997645,0.1405473884874091,1.2701580839993767,452.6828125,2.3622209082466514,452.0234375,7.0,0.0,7.0
synthetic_n200_d100_fixedseed3101,Tsplit,80.0,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,0.8693150384002365,0.06984592249757904,0.8580822144995182,453.44609375,0.7436361957749933,453.904296875,3.0,0.0,3.0
