dataset_variant,sensitivity_factor,sensitivity_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_n1000_d100_fixedseed3102,lr,0.005,0.9007383412679928,0.027148741314592918,0.8946579168438449,0.9147483166256055,0.020679170726293352,0.9149212318530541,1.0,0.0,1.0,0.9141,0.035075949341710225,0.923,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.3429130381991854,0.16902144187061166,2.286455154498981,467.239453125,4.605638658249037,466.087890625,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,lr,0.01,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5820633088995235,0.25613891599125815,2.5599745314993925,468.199609375,7.220812617274244,468.78125,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,lr,0.02,0.8757410274093098,0.00841679120848931,0.8719132834909802,0.9078639043044449,0.004037265727481165,0.9060241557390685,0.9952380952380953,0.015058465048420835,1.0,0.8615999999999999,0.023075720766400545,0.8545,4.0,0.0,4.0,10.1,0.31622776601683794,10.0,0.101,0.0031622776601683777,0.1,2.7958820394000212,0.326192782974059,2.6781318169978476,466.621875,7.8135322234756055,467.021484375,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,lr,0.05,0.8774154626357106,0.008915682488428599,0.8764384184345365,0.9086597129505366,0.004332775192547192,0.9081250888231646,0.9904761904761905,0.02007795339789443,1.0,0.867,0.023323807579381236,0.871,4.0,0.0,4.0,10.2,0.42163702135578385,10.0,0.10200000000000001,0.004216370213557839,0.1,2.9978184959996725,0.20685334491005872,2.953095682498315,466.16015625,6.146344214288756,468.5,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,lr,0.005,0.864698211275682,0.01948171738295964,0.863944076675293,0.8884663490666552,0.023173036555341243,0.8891845245545631,0.6331867057673509,0.013827779073447666,0.6350806451612903,0.8710000000000001,0.025033311140691468,0.8825000000000001,4.0,0.0,4.0,21.6,0.6992058987801009,21.5,0.21600000000000003,0.006992058987801016,0.215,0.9814048781008751,0.49321520496407706,0.827037573501002,450.328515625,1.960983712174049,451.3125,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,lr,0.01,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,0.9370493139998871,0.1720104720046776,0.8437610659984784,450.734375,1.4990796691973123,451.244140625,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,lr,0.02,0.8742966851946863,0.0027278137673417456,0.8739158247239887,0.9073094798407088,0.0012735355294924019,0.907126483252872,0.5254045543519228,0.016634087368812108,0.5263157894736842,0.8595,0.010658851303546348,0.86,4.0,0.0,4.0,28.1,1.1972189997378646,28.0,0.281,0.01197218999737863,0.28,0.95102770529993,0.14834392179123387,0.8695069999994303,451.387890625,1.1673205042144326,451.736328125,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,lr,0.05,0.8750766138378966,0.0035218067264225785,0.874595206026424,0.9062223661013122,0.003736927066433594,0.9068696381053106,0.50491481452744,0.037807705247702626,0.5,0.8640000000000001,0.01577621275493232,0.8625,4.0,0.0,4.0,29.8,2.820559440174157,30.0,0.298,0.02820559440174157,0.3,0.9907614888990792,0.13042559108476984,0.9395997254996473,451.30703125,1.2462688454568154,451.486328125,3.0,0.0,3.0
