dataset,method,seed,beta_mult,tau_mult,use_prior,max_components,rough_k,Final K,Label K,ARI,NMI,Active genes,Mean q_phi,Max q_phi,Min q_phi,Time (s)
PBMC-SCT,DIVI-Info,1,1.0,1.0,1,8,8,8,8,0.7903604501150269,0.704721040512998,1594,0.6217877268791199,0.9525471925735474,0.04923398792743683,954.5866601519999
PBMC-SCT,DIVI-Info,2,1.0,1.0,1,8,8,8,8,0.756521687216203,0.6883472731202238,1563,0.6199900507926941,0.9525585770606995,0.04871318116784096,1044.3206011559998
PBMC-SCT,DIVI-Info,3,1.0,1.0,1,8,8,8,8,0.794907822299674,0.7099708804585245,1581,0.6197928190231323,0.9525747895240784,0.046701982617378235,1039.5901481769997
PBMC-SCT,DIVI-Info,4,1.0,1.0,1,8,8,8,8,0.606101190029498,0.643020967786169,1573,0.619296133518219,0.9525606036186218,0.048731353133916855,1043.059233546
PBMC-SCT,DIVI-Info,5,1.0,1.0,1,8,8,8,8,0.4638270576937991,0.5580670697544554,1585,0.6201012134552002,0.9525917768478394,0.04974200949072838,1013.6174262470004
