,ARI,NMI,Final K,Label K,Active genes,Mean q_phi,Time (s)
mean,0.6823436414708403,0.6608254463264741,8.0,8.0,1579.2,0.6201935887336731,1019.0348138556001
std,0.14439798909032323,0.06319776745837197,0.0,0.0,11.7983049630021,0.0009430375836747058,38.15094413717283
