,ARI,ARI,NMI,NMI,Final K,Final K,Label K,Label K,Time (s),Time (s)
,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,
K-means,0.6574178466606677,0.10197837519866278,0.7532146679939948,0.034206830195654854,8.0,0.0,8.0,0.0,5.517608978799944,0.5734724327765343
diag-GMM,0.6714682624343938,0.0916988106870257,0.761097627255513,0.029053392250488856,8.0,0.0,8.0,0.0,12.203740811200078,2.033291179013503
