dataset_variant,sensitivity_factor,sensitivity_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_n1000_d100_fixedseed3102,temp_end,0.01,0.879422642300535,0.01153359131546254,0.8724923901697438,0.909659521333712,0.005564409054898965,0.9062893539426331,1.0,0.0,1.0,0.8693,0.028759732652134034,0.858,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.8027264976997683,0.20512236878958645,2.758357395499843,466.94375,4.01251898021969,466.599609375,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,temp_end,0.05,0.879284692265632,0.011865722794325266,0.8711339445738409,0.9096020320118718,0.0057453850199036234,0.9056643414882103,1.0,0.0,1.0,0.8691000000000001,0.028497368299546594,0.8514999999999999,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.6123307335998107,0.23134368434713512,2.5445371474997955,462.21796875,7.973164329141091,460.46484375,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,temp_end,0.1,0.8788609138355623,0.011870540364334142,0.8713154679966384,0.909402763413351,0.00579913224144247,0.9057476503485076,1.0,0.0,1.0,0.8684,0.027757681619488498,0.8525,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5524360048002563,0.21482979324830526,2.479124449500887,462.891796875,5.200531933956809,463.029296875,3.0,0.0,3.0
synthetic_n1000_d100_fixedseed3102,temp_end,0.2,0.8795803725821573,0.013319433177337312,0.8717665686121445,0.9097840397937282,0.006609902098713056,0.9059554357925468,1.0,0.0,1.0,0.8695999999999999,0.02901800207534016,0.8545,4.0,0.0,4.0,10.0,0.0,10.0,0.1,0.0,0.1,2.5223837303001346,0.13724676446134335,2.499435754500155,469.341015625,10.282233119907799,472.458984375,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,temp_end,0.01,0.8731101185496769,0.0027593582386425592,0.8719372920321685,0.9067609182118004,0.0012801385920752125,0.9062146470278732,0.6835819929257082,0.027771197955067963,0.6781609195402298,0.8525,0.013176156917368237,0.85,4.0,0.0,4.0,19.3,1.1595018087284046,19.5,0.193,0.011595018087284062,0.195,1.1571552422999958,0.35570283292083815,0.9916110095000477,451.5234375,1.1164618612714041,451.740234375,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,temp_end,0.05,0.8728381151618247,0.002736746217541091,0.8713184771469268,0.9066354292842366,0.0012704727576501405,0.9059309964406864,0.5724057804940158,0.025503612230731887,0.5555555555555556,0.8515,0.012258783698955545,0.845,4.0,0.0,4.0,25.0,1.4907119849998598,26.0,0.25,0.014907119849998604,0.26,0.9552194818999851,0.15178508357094056,0.8956249845014099,451.61328125,1.217621283333503,451.873046875,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,temp_end,0.1,0.8730117347496018,0.0024075927062518878,0.8719372920321685,0.9067139402421682,0.001114300364299505,0.9062146470278732,0.5558205264087618,0.012987877120001873,0.5555555555555556,0.8525,0.012304019216861178,0.85,4.0,0.0,4.0,26.0,0.8164965809277259,26.0,0.26,0.008164965809277258,0.26,1.0672293984003773,0.13419479801003265,1.044617825999012,451.360546875,1.5803108679963485,451.947265625,3.0,0.0,3.0
synthetic_n200_d100_fixedseed3101,temp_end,0.2,0.8727527643275697,0.0018293005314508478,0.8719372920321685,0.9065924608548629,0.0008442514934404993,0.9062146470278732,0.5683397683397683,0.009767653004381083,0.5714285714285714,0.852,0.010593499054713821,0.85,4.0,0.0,4.0,25.2,0.6324555320336757,25.0,0.252,0.0063245553203367735,0.25,1.0421203030004107,0.15439120456049982,1.0104199555007654,452.236328125,1.2841859173512702,452.4375,3.0,0.0,3.0
