scenario,n,d,d_info,delta,noise_sd,signal_df,rho,block_size,seed,method,status,error,ARI,NMI,feature_f1_thresh,feature_f1_topd,active_dims,bestw,runtime_sec,wall_sec_python
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,10,SPKM,ok,,0.9940120542038232,0.9888677227532202,0.18181818181818182,1.0,100,3.44210526315789,55.657,56.325686413000085
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,11,SPKM,ok,,0.9939940000962764,0.987603151547432,0.18181818181818182,1.0,100,3.44210526315789,57.195,57.68219676400008
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,12,SPKM,ok,,0.9910135858709991,0.9826706392158682,0.1834862385321101,1.0,99,3.44210526315789,57.27,57.74888630800001
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,13,SPKM,ok,,0.9970015045323003,0.9938029489046497,0.18181818181818182,1.0,100,3.44210526315789,56.1,56.56695789499986
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,14,SPKM,ok,,0.9880240361202285,0.9752173046461379,0.18181818181818182,1.0,100,3.44210526315789,56.783,57.274758109000004
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,15,SPKM,ok,,0.9850570992855562,0.9715480917511098,0.18181818181818182,1.0,100,3.44210526315789,55.112,55.796772659
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,16,SPKM,ok,,0.9791326845099187,0.9652136738148739,0.18181818181818182,1.0,100,3.44210526315789,56.811,57.272730451999905
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,17,SPKM,ok,,0.9940030362131663,0.9876058551993109,0.18181818181818182,1.0,100,3.44210526315789,56.669,57.12327872900005
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,18,SPKM,ok,,0.985061721018876,0.9715493056164058,0.18181818181818182,1.0,100,3.44210526315789,57.67,58.141709886999706
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,19,SPKM,ok,,0.9910135316283827,0.9814115884087543,0.18181818181818182,1.0,100,3.44210526315789,57.012,57.50718699400022
heavy_tailed_signal,1000,100,10,2.0,3.0,5.0,,,20,SPKM,ok,,0.9910045135969009,0.981408846713949,0.1834862385321101,1.0,99,3.44210526315789,56.421,56.95452308699987
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,1,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,8.0,8.515412861000186
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,2,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,9.132,9.48640412199984
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,3,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,7.219,7.544295343000158
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,4,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,4.37894736842105,9.304,9.655073392999839
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,5,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,7.484,7.885771564000152
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,6,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,8.445,8.954215188000035
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,7,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,9.794,10.187531785999909
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,8,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,7.124,7.462997574999918
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,9,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,8.945,9.277445075000287
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,10,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,11.753,12.250547680999716
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,11,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,8.424,9.286923520000073
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,12,SPKM,ok,,0.9850007840499246,0.9763449138590041,0.18181818181818182,1.0,100,3.91052631578947,9.035,9.388643629999933
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,13,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,7.5,7.855681890999676
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,14,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,9.255,9.594432878000134
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,15,SPKM,ok,,0.9849996249906248,0.9763460183015862,0.18181818181818182,1.0,100,3.44210526315789,8.055,8.444394573000409
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,16,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,7.996,8.502025283999956
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,17,SPKM,ok,,0.9552261533811073,0.929107016632509,0.18181818181818182,1.0,100,3.91052631578947,9.259,9.609276745999978
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,18,SPKM,ok,,0.47908530911906333,0.5246340075718732,0.6666666666666666,1.0,20,3.91052631578947,7.47,7.848991703000138
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,19,SPKM,ok,,0.9848865697285946,0.9763112474994169,0.18181818181818182,1.0,100,3.44210526315789,9.509,9.896976077999625
correlated_noise,200,100,10,2.0,3.0,,0.6,10.0,20,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.91052631578947,9.557,9.943843130999994
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,1,SPKM,ok,,0.9939940000962764,0.987603151547432,0.18181818181818182,1.0,100,3.44210526315789,59.33,60.082273631000135
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,2,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,55.984,56.7338632320002
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,3,SPKM,ok,,0.9910000724863901,0.9826665111229346,0.18181818181818182,1.0,100,3.44210526315789,57.752,58.44977458999983
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,4,SPKM,ok,,0.9940120180601143,0.9876086482064032,0.18181818181818182,1.0,100,3.44210526315789,59.687,60.26183244499998
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,5,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,58.018,58.585610144000384
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,6,SPKM,ok,,0.9940030362131663,0.9876058551993107,0.18181818181818182,1.0,100,3.44210526315789,58.391,58.901869755999996
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,7,SPKM,ok,,0.9970015045323003,0.9938029489046497,0.18181818181818182,1.0,100,3.44210526315789,57.729,58.21080917900008
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,8,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,57.753,58.22848661099988
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,9,SPKM,ok,,0.996996990984967,0.9938015906454756,0.1834862385321101,1.0,99,3.44210526315789,61.84,62.32527093999988
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,10,SPKM,ok,,0.9940030000150241,0.9876059147486771,0.18181818181818182,1.0,100,3.44210526315789,59.399,59.8872915930001
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,11,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,58.629,59.11136776400008
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,12,SPKM,ok,,0.9940120542038232,0.9888677227532202,0.18181818181818182,1.0,100,3.44210526315789,57.23,57.70340407799995
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,13,SPKM,ok,,0.9969970000481382,0.9938015778197291,0.18181818181818182,1.0,100,3.44210526315789,57.837,58.29905331300006
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,14,SPKM,ok,,0.9969970000481382,0.9938015778197291,0.18181818181818182,1.0,100,3.44210526315789,57.492,57.96416282900009
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,15,SPKM,ok,,0.9910181084132711,0.984404667429668,0.1834862385321101,1.0,99,3.44210526315789,56.059,56.556600978000006
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,16,SPKM,ok,,0.996996990984967,0.9938015906454756,0.18181818181818182,1.0,100,3.44210526315789,56.897,57.649009122999814
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,17,SPKM,ok,,0.9970015045323003,0.9938029489046497,0.18181818181818182,1.0,100,3.44210526315789,58.318,59.05271397699971
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,18,SPKM,ok,,0.9939940000962764,0.987603151547432,0.18181818181818182,1.0,100,3.44210526315789,57.99,58.68372146999991
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,19,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,57.645,58.32426212900009
correlated_noise,1000,100,10,2.0,3.0,,0.6,10.0,20,SPKM,ok,,1.0,1.0,0.18181818181818182,1.0,100,3.44210526315789,57.691,58.1582054280002
