n,d,d_info,delta,rough_ari_mean,rough_ari_std,rough_ari_count,rough_nmi_mean,rough_nmi_std,rough_nmi_count,prior_f1_thresh_mean,prior_f1_thresh_std,prior_f1_thresh_count,prior_f1_top_mean,prior_f1_top_std,prior_f1_top_count,prior_auroc_mean,prior_auroc_std,prior_auroc_count,prior_auprc_mean,prior_auprc_std,prior_auprc_count,prior_selected_dims_mean,prior_selected_dims_std,prior_selected_dims_count,prior_signal_mean_mean,prior_signal_mean_std,prior_signal_mean_count,prior_noise_mean_mean,prior_noise_mean_std,prior_noise_mean_count,prior_signal_noise_gap_mean,prior_signal_noise_gap_std,prior_signal_noise_gap_count,final_ari_mean,final_ari_std,final_ari_count,final_nmi_mean,final_nmi_std,final_nmi_count,final_f1_thresh_mean,final_f1_thresh_std,final_f1_thresh_count,final_f1_top_mean,final_f1_top_std,final_f1_top_count,final_auroc_mean,final_auroc_std,final_auroc_count,final_auprc_mean,final_auprc_std,final_auprc_count,final_selected_dims_mean,final_selected_dims_std,final_selected_dims_count,final_signal_mean_mean,final_signal_mean_std,final_signal_mean_count,final_noise_mean_mean,final_noise_mean_std,final_noise_mean_count,final_signal_noise_gap_mean,final_signal_noise_gap_std,final_signal_noise_gap_count,delta_ari_mean,delta_ari_std,delta_ari_count,delta_nmi_mean,delta_nmi_std,delta_nmi_count,delta_f1_thresh_mean,delta_f1_thresh_std,delta_f1_thresh_count,delta_f1_top_mean,delta_f1_top_std,delta_f1_top_count,delta_auprc_mean,delta_auprc_std,delta_auprc_count,step_a_eval_sec_mean,step_a_eval_sec_std,step_a_eval_sec_count,fit_sec_mean,fit_sec_std,fit_sec_count,final_K_mean,final_K_std,final_K_count
200,100,10,1.0,0.3821692632583663,0.03313988549040388,20,0.4198340198031743,0.035104401779332245,20,0.7084688157790625,0.08636392168323262,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,18.6,3.2346804934547775,20,0.928359288573265,0.009639031324298802,20,0.24187048744203316,0.022479745067762572,20,0.6864888011312319,0.019244455530709283,20,0.5462392112242174,0.14026605568224804,20,0.5568660012657014,0.10168774620731777,20,0.4136663394072624,0.050195153129253545,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,39.0,5.703184705887903,20,0.9295973989367485,0.008669206908566162,20,0.39352379272381466,0.027447133754555538,20,0.5360736062129339,0.024383018120458143,20,0.16406994796585117,0.13705493893889686,20,0.137031981462527,0.10044272471500733,20,-0.29480247637180007,0.07143376410172182,20,0.0,0.0,20,0.0,0.0,20,0.16354261625019717,0.03488304196025922,20,1.2217251860000942,0.5170490107322355,20,3.0,0.0,20
1000,100,10,1.0,0.6429447585215765,0.05118698828499433,20,0.6083575416741784,0.04200834688774796,20,0.966125541125541,0.04643017134279649,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,10.75,1.0699237552766379,20,0.946702376306057,0.0019511575806630329,20,0.1714151957879464,0.01390439064181259,20,0.7752871805181105,0.014467095673583633,20,0.7728578191689354,0.027133829078195667,20,0.7234037862804436,0.025707822811301705,20,0.616934477638558,0.07183780163298883,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,22.85,3.937338133682117,20,0.946794015467167,0.0019324132265437102,20,0.3078098610043526,0.020226242100184824,20,0.6389841544628143,0.020715368477391534,20,0.1299130606473588,0.04987929687230744,20,0.11504624460626518,0.04067168475640105,20,-0.3491910634869831,0.08157678916435852,20,0.0,0.0,20,0.0,0.0,20,0.241330701050083,0.04600207103771831,20,3.256136620000234,0.31119042726741986,20,3.0,0.0,20
