n,seed,d,d_info,k,delta,rough_ari,rough_nmi,prior_f1_thresh,prior_f1_top,prior_auroc,prior_auprc,prior_selected_dims,prior_signal_mean,prior_noise_mean,prior_signal_noise_gap,final_ari,final_nmi,final_f1_thresh,final_f1_top,final_auroc,final_auprc,final_selected_dims,final_signal_mean,final_noise_mean,final_signal_noise_gap,delta_ari,delta_nmi,delta_f1_thresh,delta_f1_top,delta_auprc,step_a_eval_sec,fit_sec,final_K,status,error
200,1,100,10,3,1.0,0.39301220509608387,0.42249849857033644,0.8,1.0,1.0,0.9999999999999999,15,0.9330211877822876,0.23882670775055886,0.6941944800317288,0.4620310335829135,0.5136138120021532,0.38461538461538464,1.0,1.0,0.9999999999999999,42,0.9336791634559631,0.39879434522655277,0.5348848182294104,0.06901882848682961,0.09111531343181672,-0.4153846153846154,0.0,0.0,0.21944148400143604,3.3191350470006,3,ok,
200,2,100,10,3,1.0,0.40471114183247975,0.44262940954953645,0.6451612903225806,1.0,1.0,0.9999999999999999,21,0.9355083763599396,0.25446073868208463,0.6810476376778549,0.4590146983440438,0.5192091084473612,0.37037037037037035,1.0,1.0,0.9999999999999999,44,0.9356874585151672,0.40869585540559555,0.5269916031095716,0.054303556511564044,0.07657969889782479,-0.2747909199522103,0.0,0.0,0.24035156600075425,1.3772160729986354,3,ok,
200,3,100,10,3,1.0,0.39218284570159306,0.4457376830665293,0.7407407407407407,1.0,1.0,0.9999999999999999,17,0.9332736670970917,0.24310328964557912,0.6901703774515126,0.38050143462825664,0.45862360058707896,0.4166666666666667,1.0,1.0,0.9999999999999999,38,0.9335931777954102,0.3968044656018416,0.5367887121935686,-0.011681411073336423,0.012885917520549683,-0.324074074074074,0.0,0.0,0.13750342599996657,1.0237702510003146,3,ok,
200,4,100,10,3,1.0,0.3896262604479124,0.4151185369600305,0.625,1.0,1.0,0.9999999999999999,22,0.9349067866802215,0.26107184030115604,0.6738349463790655,0.4452145341598963,0.47813480141748305,0.38461538461538464,1.0,1.0,0.9999999999999999,42,0.9354594886302948,0.42110153204864925,0.5143579565816456,0.05558827371198394,0.06301626445745256,-0.24038461538461536,0.0,0.0,0.143136542999855,1.0424593050011026,3,ok,
200,5,100,10,3,1.0,0.36412323407906233,0.41458722340184523,0.6666666666666666,1.0,1.0,0.9999999999999999,20,0.9279569387435913,0.2653720113552279,0.6625849273883634,0.36248348101728156,0.4313709023681654,0.37735849056603776,1.0,1.0,0.9999999999999999,43,0.9301190316677094,0.42095672744843693,0.5091623042192724,-0.0016397530617807687,0.01678367896632016,-0.28930817610062887,0.0,0.0,0.14236998699925607,1.0503056320012547,3,ok,
200,6,100,10,3,1.0,0.3507708386647255,0.4110698843210124,0.7407407407407407,1.0,1.0,0.9999999999999999,17,0.9256266057491302,0.22221032571461466,0.7034162800345156,0.6050433618204074,0.6107272238433541,0.4878048780487805,1.0,1.0,0.9999999999999999,31,0.9294674158096313,0.3667334244483047,0.5627339913613266,0.2542725231556819,0.19965733952234171,-0.2529358626919602,0.0,0.0,0.16638828300165187,1.0260292190014297,3,ok,
200,7,100,10,3,1.0,0.38611179345952146,0.40091790495828267,0.7407407407407407,1.0,1.0,0.9999999999999999,17,0.9146688044071197,0.20648429083327452,0.7081845135738452,0.621599392923193,0.5905684471046244,0.5263157894736842,1.0,1.0,0.9999999999999999,28,0.9186446011066437,0.3428884773618645,0.5757561237447792,0.23548759946367154,0.18965054214634175,-0.21442495126705652,0.0,0.0,0.14164432200050214,1.0541116620006505,3,ok,
200,8,100,10,3,1.0,0.3745996847446386,0.3923304389876831,0.7692307692307693,1.0,1.0,0.9999999999999999,16,0.9415902256965637,0.24081044822103448,0.7007797774755292,0.7175467958399666,0.695649368742662,0.425531914893617,1.0,1.0,0.9999999999999999,37,0.9420661091804504,0.39171893157892756,0.5503471776015229,0.342947111095328,0.3033189297549789,-0.34369885433715225,0.0,0.0,0.1508364689998416,1.035861249998561,3,ok,
200,9,100,10,3,1.0,0.32028258065378523,0.3587169336504078,0.6060606060606061,1.0,1.0,0.9999999999999999,23,0.9228573262691497,0.26843686658475135,0.6544204596843983,0.6873566246780444,0.6481860474378888,0.3389830508474576,1.0,1.0,0.9999999999999999,49,0.9247473835945129,0.42733695722288556,0.49741042637162736,0.36707404402425914,0.28946911378748097,-0.26707755521314847,0.0,0.0,0.14100682200114534,1.0490691360009805,3,ok,
200,10,100,10,3,1.0,0.34650915576588637,0.38732404040454016,0.625,1.0,1.0,0.9999999999999999,22,0.9302309274673461,0.26853179145190453,0.6616991360154416,0.3843669969936533,0.42344266687784576,0.36363636363636365,1.0,1.0,0.9999999999999999,45,0.9315255343914032,0.4281565633912881,0.503368971000115,0.03785784122776692,0.036118626473305604,-0.26136363636363635,0.0,0.0,0.14593091200003983,1.0699169130002701,3,ok,
200,11,100,10,3,1.0,0.37557306062897794,0.4280928860878199,0.7692307692307693,1.0,1.0,0.9999999999999999,16,0.9355426788330078,0.24896553150481648,0.6865771473281913,0.6574294284217949,0.6481962372193253,0.4,1.0,1.0,0.9999999999999999,40,0.9359072864055633,0.4012097183201048,0.5346975680854584,0.2818563677928169,0.22010335113150536,-0.36923076923076925,0.0,0.0,0.21907651999936206,1.361607135999293,3,ok,
200,12,100,10,3,1.0,0.3704494566969792,0.4038368447934828,0.8,1.0,1.0,0.9999999999999999,15,0.9060530066490173,0.21198010101086565,0.6940729056381517,0.6093617464040697,0.5834175115560339,0.4878048780487805,1.0,1.0,0.9999999999999999,31,0.9091186881065368,0.355911315480868,0.5532073726256688,0.2389122897070905,0.17958066676255113,-0.31219512195121957,0.0,0.0,0.20549204599956283,1.405622497000877,3,ok,
200,13,100,10,3,1.0,0.3425742397257672,0.3617909044189765,0.6666666666666666,1.0,1.0,0.9999999999999999,20,0.9281496524810791,0.2653192289173603,0.6628304235637188,0.4123283856353761,0.4526107859726689,0.37735849056603776,1.0,1.0,0.9999999999999999,43,0.9287336468696594,0.41837260896960893,0.5103610379000505,0.06975414590960888,0.09081988155369242,-0.28930817610062887,0.0,0.0,0.2185439580007369,1.4720287609998195,3,ok,
200,14,100,10,3,1.0,0.376409892933327,0.4050094912698778,0.6451612903225806,1.0,1.0,0.9999999999999999,21,0.9267722249031067,0.23490091479486888,0.6918713101082379,0.4285623939847722,0.43793249700634784,0.46511627906976744,1.0,1.0,0.9999999999999999,33,0.9273788750171661,0.38304791582955255,0.5443309591876135,0.0521525010514452,0.03292300573647006,-0.1800450112528132,0.0,0.0,0.14397989499957475,1.0358175289984501,3,ok,
200,15,100,10,3,1.0,0.38310978880062857,0.4245801355529613,0.5882352941176471,1.0,1.0,0.9999999999999999,24,0.9328347086906433,0.27275645265148746,0.6600782560391558,0.4402144288835191,0.4907648427433516,0.3448275862068966,1.0,1.0,0.9999999999999999,48,0.933298122882843,0.4292450091077222,0.5040531137751207,0.05710464008289051,0.06618470719039027,-0.2434077079107505,0.0,0.0,0.13861809400077618,1.0226370950003911,3,ok,
200,16,100,10,3,1.0,0.3888627814315845,0.44301934112674957,0.6666666666666666,1.0,1.0,0.9999999999999999,20,0.929935622215271,0.2523683278510968,0.6775672943641742,0.38936916171029523,0.44483798564640376,0.40816326530612246,1.0,1.0,0.9999999999999999,39,0.9302807092666626,0.40775524286760223,0.5225254663990604,0.0005063802787107496,0.001818644519654189,-0.25850340136054417,0.0,0.0,0.14355198799967184,1.0673965040004987,3,ok,
200,17,100,10,3,1.0,0.45142396573154414,0.4550481521850574,0.7142857142857143,1.0,1.0,0.9999999999999999,18,0.9414616167545319,0.22396424400309722,0.7174973727514347,0.7053800461321775,0.6707279610569504,0.4166666666666667,1.0,1.0,0.9999999999999999,38,0.9416240811347961,0.3683937586843967,0.5732303224503994,0.2539560804006334,0.21567980887189303,-0.2976190476190476,0.0,0.0,0.15416410499892663,1.0214849160001904,3,ok,
200,18,100,10,3,1.0,0.46184697609253234,0.513575642420943,0.7407407407407407,1.0,1.0,0.9999999999999999,17,0.9322977483272552,0.22072213631537224,0.711575612011883,0.6734006504751464,0.643217505315474,0.43478260869565216,1.0,1.0,0.9999999999999999,36,0.932525497674942,0.3707311450607247,0.5617943526142173,0.21155367438261408,0.12964186289453095,-0.30595813204508854,0.0,0.0,0.14091594099954818,1.0025125759984803,3,ok,
200,19,100,10,3,1.0,0.36823287120529846,0.4109206246682314,0.6666666666666666,1.0,1.0,0.9999999999999999,20,0.9275744736194611,0.2408549215644598,0.6867195520550013,0.7180905514938704,0.677106623471553,0.40816326530612246,1.0,1.0,0.9999999999999999,39,0.9281562447547913,0.38352182234327,0.5446344224115214,0.3498576802885719,0.2661859988033216,-0.25850340136054417,0.0,0.0,0.14028687800055195,0.9955672319993027,3,ok,
200,20,100,10,3,1.0,0.4029724914749974,0.45987581966918284,0.9523809523809523,1.0,1.0,0.9999999999999999,11,0.9069231927394867,0.1962695796870523,0.7106536130524345,0.7654890773556707,0.7189820964973014,0.45454545454545453,1.0,1.0,0.9999999999999999,34,0.909935462474823,0.3491000380780962,0.5608354243967268,0.3625165858806733,0.25910627682811854,-0.4978354978354978,0.0,0.0,0.13761308600078337,1.0019549860007828,3,ok,
