n,seed,d,d_info,delta,status,error,ARI,NMI,converged,n_iter,method,dimensions_used,feature_f1,runtime_sec,pca_variance_explained,mean_selected_score
200,20,100,10,2.0,ok,,0.9702288289475778,0.9589991862510547,True,13,PCA+diag-GMM,50,,0.13525442999889492,0.8115023323870397,
200,20,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.0358582610006124,,0.4164724997020043
1000,1,100,10,2.0,ok,,0.9880150904169895,0.9764735697438046,True,3,PCA+diag-GMM,50,,0.09469419200104312,0.6810536941234137,
1000,1,100,10,2.0,ok,,0.9940120542038232,0.9888677227532202,True,2,LaplacianScore+diag-GMM,10,1.0,0.07763557099860918,,0.35782052538147585
1000,2,100,10,2.0,ok,,1.0,1.0,True,3,PCA+diag-GMM,50,,0.08232874300119875,0.6769058885342605,
1000,2,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.07904276699991897,,0.3644016455540924
1000,3,100,10,2.0,ok,,1.0,1.0,True,2,PCA+diag-GMM,50,,0.08134112799962168,0.6796471488165733,
1000,3,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.0622524139998859,,0.37411823169844527
1000,4,100,10,2.0,ok,,1.0,1.0,True,2,PCA+diag-GMM,50,,0.06986270299967146,0.6776295247072686,
1000,4,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.06709792499896139,,0.3551403721020545
1000,5,100,10,2.0,ok,,0.9940120180601143,0.9876086482064032,True,2,PCA+diag-GMM,50,,0.08497866699872247,0.6789269941316736,
1000,5,100,10,2.0,ok,,0.9970015045323003,0.9938029489046497,True,2,LaplacianScore+diag-GMM,10,1.0,0.06476123600077699,,0.3506391970354464
1000,6,100,10,2.0,ok,,0.9910135858709991,0.9826706392158682,True,2,PCA+diag-GMM,50,,0.1130794689997856,0.6775689902156341,
1000,6,100,10,2.0,ok,,0.996996990984967,0.9938015906454756,True,2,LaplacianScore+diag-GMM,10,1.0,0.11195825699905981,,0.36316301669065204
1000,7,100,10,2.0,ok,,0.9940030181141498,0.9876058850126191,True,2,PCA+diag-GMM,50,,0.11673184299979766,0.677827276048786,
1000,7,100,10,2.0,ok,,0.9940030181141498,0.9876058850126191,True,2,LaplacianScore+diag-GMM,10,1.0,0.10230297099951713,,0.3463748369802737
1000,8,100,10,2.0,ok,,1.0,1.0,True,3,PCA+diag-GMM,50,,0.12333965799916768,0.6785162832475479,
1000,8,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.10096586100007698,,0.3493656427408737
1000,9,100,10,2.0,ok,,0.9969970000481382,0.9938015778197291,True,3,PCA+diag-GMM,50,,0.13256331400043564,0.6784818869801644,
1000,9,100,10,2.0,ok,,0.996996990984967,0.9938015906454756,True,2,LaplacianScore+diag-GMM,10,1.0,0.11312418300076388,,0.3754128402964224
1000,10,100,10,2.0,ok,,0.996996990984967,0.9938015906454756,True,2,PCA+diag-GMM,50,,0.11550178199831862,0.6793722724415642,
1000,10,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.09958793099940522,,0.3636478933012842
1000,11,100,10,2.0,ok,,1.0,1.0,True,2,PCA+diag-GMM,50,,0.114394991998779,0.6789751181010198,
1000,11,100,10,2.0,ok,,0.9969970000481382,0.9938015778197291,True,2,LaplacianScore+diag-GMM,10,1.0,0.10481794999941485,,0.35481925811006343
1000,12,100,10,2.0,ok,,1.0,1.0,True,2,PCA+diag-GMM,50,,0.11166298699936306,0.6795635288586174,
1000,12,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.10878534400035278,,0.3531189780361524
1000,13,100,10,2.0,ok,,0.9880330541653187,0.9764791653014943,True,2,PCA+diag-GMM,50,,0.18703419799930998,0.6780133854753656,
1000,13,100,10,2.0,ok,,0.9910135316283827,0.982670709093929,True,2,LaplacianScore+diag-GMM,10,1.0,0.11316359199918224,,0.35170090130547604
1000,14,100,10,2.0,ok,,0.9970015045323003,0.9938029489046497,True,3,PCA+diag-GMM,50,,0.12276755899983982,0.6794100052917286,
1000,14,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.10381871200115711,,0.3654717479076014
1000,15,100,10,2.0,ok,,0.9970015045323003,0.9938029489046497,True,2,PCA+diag-GMM,50,,0.11732205600128509,0.678912889414957,
1000,15,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.0952077179990738,,0.3624772695184548
1000,16,100,10,2.0,ok,,1.0,1.0,True,2,PCA+diag-GMM,50,,0.10962803899928986,0.6775633279128979,
1000,16,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.09564522700020461,,0.35525190550893293
1000,17,100,10,2.0,ok,,0.9939940000962764,0.987603151547432,True,3,PCA+diag-GMM,50,,0.12591349799913587,0.6803368997718506,
1000,17,100,10,2.0,ok,,0.9970015045323003,0.9938029489046497,True,2,LaplacianScore+diag-GMM,10,1.0,0.12380508899877896,,0.35431776463948633
1000,18,100,10,2.0,ok,,0.9880150542461731,0.9764736300326563,True,2,PCA+diag-GMM,50,,0.13128914999833796,0.6790929411963694,
1000,18,100,10,2.0,ok,,0.9970015045323003,0.9938029489046497,True,2,LaplacianScore+diag-GMM,10,1.0,0.09730275599940796,,0.3606908631618563
1000,19,100,10,2.0,ok,,0.9940030362131663,0.9876058551993109,True,2,PCA+diag-GMM,50,,0.10805059399899619,0.6784741126486808,
1000,19,100,10,2.0,ok,,0.9940030362131663,0.9876058551993107,True,2,LaplacianScore+diag-GMM,10,1.0,0.09435778700026276,,0.35739157211115524
1000,20,100,10,2.0,ok,,0.996996990984967,0.9938015906454756,True,2,PCA+diag-GMM,50,,0.10336404200097604,0.6787879216366315,
1000,20,100,10,2.0,ok,,1.0,1.0,True,2,LaplacianScore+diag-GMM,10,1.0,0.09558352500062028,,0.3580858406750978
