experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,runtime_axis,runtime_value,baseline_timeout_sec,baseline_converged_flag,source_runs_csv,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
runtime_synth__synthetic_n1000_d2000_noise3.0__runtime_dscale__seed3__spkm,run_divi_runtime_synth_direct.py,2026-03-25T12:21:49Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d2000_noise3.0,runtime_dscale,1000,2000,3,0.005,0.995,3.0,20262325.0,3,spkm,,spkm,,,,,,,,,,,,3,0,,,[],0.9970015045323004,0.9938029489046496,0.0236966824644549,0.999,834.0,0.417,,,,,,,,3.060443,,3.060443,,,,1044.05078125,ok,False,,,D,2000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d2000_noise3.0__runtime_dscale__seed4__divi,run_divi_runtime_synth_direct.py,2026-03-25T12:22:27Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d2000_noise3.0,runtime_dscale,1000,2000,3,0.005,0.995,3.0,20262325.0,4,divi,1.0,divi,1000.0,1.0,80.0,auto_entropy,2837.8770664093454,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.7362133427013928,0.7712202544971435,0.2409638554216867,0.799,73.0,0.0365,0.2490029335021972,0.2231817841529846,3902125.75,3807545.5,94580.25,3814451.75,87.67388153076172,37.82006546900084,3.385791159998917,34.30602368899781,0.096915316000377,0.1241377219994319,0.1143534122966593,960.12890625,ok,False,,,D,2000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d2000_noise3.0__runtime_dscale__seed4__kmeans_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:22:29Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d2000_noise3.0,runtime_dscale,1000,2000,3,0.005,0.995,3.0,20262325.0,4,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,3,0,,,[],0.3470959120370289,0.401287002512242,,0.584,,,,,,,,,,1.257025,,1.257025,,,,960.12890625,ok,False,,,D,2000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d2000_noise3.0__runtime_dscale__seed4__gmm_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:22:40Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d2000_noise3.0,runtime_dscale,1000,2000,3,0.005,0.995,3.0,20262325.0,4,gmm_oracle,,gmm_oracle,,,,,,,,,,,,3,0,,,[],0.3470959120370289,0.401287002512242,,0.584,,,,,,,,,,10.973967,,10.973967,,,,960.12890625,ok,False,,,D,2000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d2000_noise3.0__runtime_dscale__seed4__spkm,run_divi_runtime_synth_direct.py,2026-03-25T12:22:42Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d2000_noise3.0,runtime_dscale,1000,2000,3,0.005,0.995,3.0,20262325.0,4,spkm,,spkm,,,,,,,,,,,,3,0,,,[],0.9970015045323004,0.9938029489046496,0.0236966824644549,0.999,834.0,0.417,,,,,,,,2.659486,,2.659486,,,,960.12890625,ok,False,,,D,2000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed0__divi,run_divi_runtime_synth_direct.py,2026-03-25T12:25:23Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,0,divi,1.0,divi,1000.0,1.0,80.0,auto_entropy,7094.692666023363,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.0036793023344123,0.0066141956819774,0.0084925690021231,0.366,2345.0,0.469,0.4699788093566894,0.4799358248710632,9103683.0,8678853.0,424830.0,8822110.0,281.57257080078125,160.1963065630007,7.100520553001843,152.55852651699752,0.3621482290000131,0.5284786580014043,0.508528421723325,979.30859375,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed0__kmeans_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:25:24Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,0,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,3,0,,,[],0.0225378146646779,0.0198292311543093,,0.404,,,,,,,,,,0.92291,,0.92291,,,,979.30859375,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed0__gmm_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:27:09Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,0,gmm_oracle,,gmm_oracle,,,,,,,,,,,,3,0,,,[],0.0002760650161715,0.0035358839653075,,0.348,,,,,,,,,,105.17453,,105.17453,,,,993.453125,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed0__spkm,run_divi_runtime_synth_direct.py,2026-03-25T12:27:14Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,0,spkm,,spkm,,,,,,,,,,,,3,0,,,[],0.9940120180601144,0.9876086482064032,0.0223713646532438,0.998,884.0,0.1768,,,,,,,,4.845895,,4.845895,,,,993.453125,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed1__divi,run_divi_runtime_synth_direct.py,2026-03-25T12:29:41Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,1,divi,1.0,divi,1000.0,1.0,80.0,auto_entropy,7094.692666023363,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.0203622366208134,0.020769348925251,0.0085178875638841,0.403,2338.0,0.4676,0.4700702130794525,0.4810125231742859,9103835.0,8692556.0,411279.0,8821728.0,282.10711669921875,146.67752865999864,7.9617085049976595,138.14295884799867,0.2512444810017769,0.563184964001266,0.4604765294933289,867.58203125,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
