setting,variant,seed,n,d,d_info,k_true,status,error,ARI,NMI,runtime_sec,final_K,correct_K,over_split,under_split,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd
correlated_noise,No-StepA,7,200,100,10,3,ok,,0.7110025330625561,0.7044274080041455,0.8665510049977456,3,1,0,0,2,2,0,100,0.18181818181818182,0.6
correlated_noise,No-StepA-FixedK,7,200,100,10,3,ok,,1.0,1.0,1.2273611480013642,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,7,200,100,10,3,ok,,0.5824392648533606,0.7647634847568122,1.4075485339999432,6,0,1,0,4,4,0,37,0.425531914893617,1.0
correlated_noise,Fixed-K,8,200,100,10,3,ok,,1.0,1.0,1.0266638189968944,3,1,0,0,0,0,0,50,0.3333333333333333,1.0
correlated_noise,Full-DIVI,8,200,100,10,3,ok,,0.9418302090668691,0.9207171631302861,1.4346991029997298,3,1,0,0,2,2,0,41,0.39215686274509803,1.0
correlated_noise,No-Gating,8,200,100,10,3,ok,,0.5763083664742301,0.7370138023188832,0.5502589460011222,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,8,200,100,10,3,ok,,0.6143587579082983,0.6528831003573282,0.8755920759977016,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
correlated_noise,No-StepA-FixedK,8,200,100,10,3,ok,,0.9851149892064401,0.9763780799682114,0.8557666630003951,3,1,0,0,0,0,0,100,0.18181818181818182,0.8
correlated_noise,Unsafe-Split,8,200,100,10,3,ok,,0.7086472098869435,0.8020602497058775,1.0285812720030663,6,0,1,0,4,4,0,37,0.425531914893617,1.0
correlated_noise,Fixed-K,9,200,100,10,3,ok,,1.0,1.0,1.0596099819995288,3,1,0,0,0,0,0,55,0.3076923076923077,1.0
correlated_noise,Full-DIVI,9,200,100,10,3,ok,,0.926483954324937,0.8946538197971238,1.0168365190002078,3,1,0,0,2,2,0,43,0.37735849056603776,1.0
correlated_noise,No-Gating,9,200,100,10,3,ok,,0.4454850283406217,0.5185807595208198,0.5697010980002233,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,9,200,100,10,3,ok,,0.3918006246383907,0.4878651222291788,0.8889342389993544,3,1,0,0,2,2,0,100,0.18181818181818182,0.3
correlated_noise,No-StepA-FixedK,9,200,100,10,3,ok,,1.0,1.0,1.0353651830009767,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,9,200,100,10,3,ok,,0.6969386636838067,0.7945660158454382,1.0637758260018018,6,0,1,0,4,4,0,42,0.38461538461538464,1.0
correlated_noise,Fixed-K,10,200,100,10,3,ok,,1.0,1.0,1.4221791710006073,3,1,0,0,0,0,0,47,0.3508771929824561,1.0
correlated_noise,Full-DIVI,10,200,100,10,3,ok,,0.8308892071277707,0.7975129618037985,1.3883566389995394,3,1,0,0,2,2,0,43,0.37735849056603776,1.0
correlated_noise,No-Gating,10,200,100,10,3,ok,,0.44776926422783625,0.5207528180763613,0.8110165340003732,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,10,200,100,10,3,ok,,0.5004575769461831,0.5774926195061967,1.2679083709990664,3,1,0,0,2,2,0,100,0.18181818181818182,0.3
correlated_noise,No-StepA-FixedK,10,200,100,10,3,ok,,0.9848865697285946,0.9763112474994167,0.9456672950000211,3,1,0,0,0,0,0,100,0.18181818181818182,1.0
correlated_noise,Unsafe-Split,10,200,100,10,3,ok,,0.5596316445916386,0.7452953627639037,1.04077973299718,6,0,1,0,4,4,0,40,0.4,1.0
correlated_noise,Fixed-K,11,200,100,10,3,ok,,1.0,1.0,1.0834872569976142,3,1,0,0,0,0,0,58,0.29411764705882354,1.0
correlated_noise,Full-DIVI,11,200,100,10,3,ok,,0.6553702700636906,0.6463849934411025,1.0406665019982029,3,1,0,0,2,2,0,36,0.43478260869565216,1.0
correlated_noise,No-Gating,11,200,100,10,3,ok,,0.49099546190557697,0.5703932474500806,0.5716575970000122,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,11,200,100,10,3,ok,,0.4753449904206253,0.508741587897289,0.9016047340010118,3,1,0,0,2,2,0,100,0.18181818181818182,0.2
correlated_noise,No-StepA-FixedK,11,200,100,10,3,ok,,0.4098600560839118,0.5159246606241442,0.8258142849990691,3,1,0,0,0,0,0,100,0.18181818181818182,0.7
correlated_noise,Unsafe-Split,11,200,100,10,3,ok,,0.6830862705479009,0.7772342321720322,1.0465663169998152,6,0,1,0,4,4,0,37,0.425531914893617,1.0
correlated_noise,Fixed-K,12,200,100,10,3,ok,,0.5070220389102371,0.569619863611497,1.420731316000456,3,1,0,0,0,0,0,58,0.29411764705882354,1.0
correlated_noise,Full-DIVI,12,200,100,10,3,ok,,0.7565612043899945,0.7377034152191431,1.0028980659990339,3,1,0,0,2,2,0,52,0.3225806451612903,1.0
correlated_noise,No-Gating,12,200,100,10,3,ok,,0.44852387472785366,0.5225123774901813,0.8492108680002275,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,12,200,100,10,3,ok,,0.58731077471767,0.5941584532047673,0.9557871910001268,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
