scenario,n,d,d_info,k_true,delta,noise_sd,seed,split_interval,split_burn_in,split_persistence,split_warmup_epochs,split_accept_tol_per_sample,min_cluster_size_for_split,method,status,error,ARI,NMI,runtime_sec,final_K,over_split,under_split,correct_K,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd,split_history_json
matched_sparse_gaussian,200,100,10,3,2.0,3.0,3,60,120,2,20,0.001,25,burnin_persistence,ok,,0.4082223256136103,0.4567841577184514,0.9683347169993795,3,0,0,1,2,2,0,35,0.4444444444444444,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 181.0865020751953, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 176.95669555664062, ""cluster_size"": 110, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,3,60,120,2,20,0.001,25,full_safeguard,ok,,0.8983831889867403,0.8664203643534023,0.9904074810001475,3,0,0,1,2,2,0,33,0.46511627906976744,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": 37039.90234375, ""split_loss"": 36834.09765625, ""improvement"": 205.8046875, ""improvement_per_sample"": 1.0290234375, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 180, ""diagnostic_score"": 181.0865020751953, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": 36293.40625, ""split_loss"": 36216.16796875, ""improvement"": 77.23828125, ""improvement_per_sample"": 0.38619140625, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 300, ""diagnostic_score"": 176.84678649902344, ""cluster_size"": 113, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,4,60,120,2,20,0.001,25,original,ok,,0.5456009485588055,0.719957183049557,1.0741637400005857,6,1,0,0,4,4,0,27,0.5405405405405406,1.0,[]
matched_sparse_gaussian,200,100,10,3,2.0,3.0,4,60,120,2,20,0.001,25,burnin_only,ok,,0.7122293004648416,0.808726633368948,0.9322723699988273,5,1,0,0,4,4,0,26,0.5555555555555556,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 120, ""diagnostic_score"": 182.93617248535156, ""cluster_size"": 200, ""persistence_count"": 1}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 178.52783203125, ""cluster_size"": 91, ""persistence_count"": 1}, {""split_idx"": 0, ""old_K"": 3, ""proposed_K"": 4, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 240, ""diagnostic_score"": 175.45693969726562, ""cluster_size"": 69, ""persistence_count"": 1}, {""split_idx"": 0, ""old_K"": 4, ""proposed_K"": 5, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 175.09652709960938, ""cluster_size"": 66, ""persistence_count"": 1}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,4,60,120,2,20,0.001,25,burnin_persistence,ok,,0.47519207917419554,0.5142461313112802,0.7924392049990274,3,0,0,1,2,2,0,28,0.5263157894736842,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 181.45018005371094, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 1, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 177.59043884277344, ""cluster_size"": 126, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,4,60,120,2,20,0.001,25,full_safeguard,ok,,0.970001567757263,0.9526898520691804,1.0181682929996896,3,0,0,1,2,2,0,27,0.5405405405405406,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": 37127.55859375, ""split_loss"": 36795.8828125, ""improvement"": 331.67578125, ""improvement_per_sample"": 1.65837890625, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 180, ""diagnostic_score"": 181.45018005371094, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 1, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": 36377.0234375, ""split_loss"": 36187.85546875, ""improvement"": 189.16796875, ""improvement_per_sample"": 0.94583984375, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 300, ""diagnostic_score"": 177.57664489746094, ""cluster_size"": 132, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,5,60,120,2,20,0.001,25,original,ok,,0.6835422892368986,0.7795607932867996,1.0446091889989475,6,1,0,0,4,4,0,16,0.7692307692307693,1.0,[]
matched_sparse_gaussian,200,100,10,3,2.0,3.0,5,60,120,2,20,0.001,25,burnin_only,ok,,0.7328946106005845,0.8297928966730087,0.9237730329987244,5,1,0,0,4,4,0,16,0.7692307692307693,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 120, ""diagnostic_score"": 188.55697631835938, ""cluster_size"": 200, ""persistence_count"": 1}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 184.47720336914062, ""cluster_size"": 98, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 3, ""proposed_K"": 4, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 240, ""diagnostic_score"": 181.771728515625, ""cluster_size"": 65, ""persistence_count"": 1}, {""split_idx"": 1, ""old_K"": 4, ""proposed_K"": 5, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 181.34535217285156, ""cluster_size"": 68, ""persistence_count"": 1}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,5,60,120,2,20,0.001,25,burnin_persistence,ok,,0.4952582424190354,0.5451414414597712,0.7998482120001427,3,0,0,1,2,2,0,17,0.7407407407407407,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 180, ""diagnostic_score"": 187.33551025390625, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": NaN, ""split_loss"": NaN, ""improvement"": NaN, ""improvement_per_sample"": NaN, ""accept_tol_per_sample"": NaN, ""accepted"": true, ""acceptance_mode"": ""accept_all_eligible"", ""epoch"": 300, ""diagnostic_score"": 183.0359649658203, ""cluster_size"": 106, ""persistence_count"": 2}]"
matched_sparse_gaussian,200,100,10,3,2.0,3.0,5,60,120,2,20,0.001,25,full_safeguard,ok,,0.5347728322429022,0.6354888668864086,1.0033930459994735,2,0,1,0,2,1,1,15,0.8,1.0,"[{""split_idx"": 0, ""old_K"": 1, ""proposed_K"": 2, ""null_loss"": 38054.7109375, ""split_loss"": 37963.35546875, ""improvement"": 91.35546875, ""improvement_per_sample"": 0.45677734375, ""accept_tol_per_sample"": 0.001, ""accepted"": true, ""epoch"": 180, ""diagnostic_score"": 187.33551025390625, ""cluster_size"": 200, ""persistence_count"": 2}, {""split_idx"": 0, ""old_K"": 2, ""proposed_K"": 3, ""null_loss"": 37339.93359375, ""split_loss"": 37361.8671875, ""improvement"": -21.93359375, ""improvement_per_sample"": -0.10966796875, ""accept_tol_per_sample"": 0.001, ""accepted"": false, ""epoch"": 300, ""diagnostic_score"": 183.09561157226562, ""cluster_size"": 112, ""persistence_count"": 2}]"
