n,method,successful_runs,ARI_mean,ARI_std,NMI_mean,NMI_std,runtime_sec_mean,runtime_sec_std,final_K_mean,final_K_std,over_split_mean,over_split_std,under_split_mean,under_split_std,correct_K_mean,correct_K_std,split_proposals_mean,split_proposals_std,accepted_splits_mean,accepted_splits_std,rejected_splits_mean,rejected_splits_std,active_dims_mean,active_dims_std,feature_f1_thresh_mean,feature_f1_thresh_std,feature_f1_topd_mean,feature_f1_topd_std
200,burnin_only,20,0.7471405339801664,0.04605547561141023,0.8277693583589757,0.019202906581454352,1.040717818399753,0.1654769911535508,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,22.55,6.278409117971812,0.6363669317040446,0.12156458509852663,1.0,0.0
200,burnin_persistence,20,0.45130403294294535,0.07457743787106336,0.49741312166567775,0.059160250763508594,0.9162189787499301,0.1442244617943807,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,24.45,7.351870510285121,0.6071998944413723,0.134605264970949,1.0,0.0
200,full_safeguard,20,0.8585985294543151,0.15064753250939653,0.8534570214750502,0.12066043726892844,1.155723536949972,0.20118412485128648,2.9,0.3077935056255462,0.0,0.0,0.1,0.30779350562554625,0.9,0.30779350562554625,2.0,0.0,1.9,0.3077935056255462,0.1,0.30779350562554625,23.65,7.08798093142261,0.6210841000459812,0.13664109904301858,1.0,0.0
200,original,20,0.6339999609671614,0.06303545526436816,0.7708695449626622,0.02513875239543506,1.2749063522501274,0.37507655425651404,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,22.15,6.251526129463783,0.6453815400928241,0.12898908044550264,1.0,0.0
1000,burnin_only,20,0.778606809711893,0.05796308951507012,0.8414978203299606,0.021841154544815146,2.4778047260001586,0.2932798332894185,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,10.15,0.36634754853252327,0.9928571428571429,0.017445121358691605,1.0,0.0
1000,burnin_persistence,20,0.44807132824501983,0.086684938061641,0.4953206763008917,0.06936349955496908,1.7464451395999276,0.251525054301181,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,10.2,0.41039134083406154,0.9904761904761905,0.019542444801622,1.0,0.0
1000,full_safeguard,20,0.9210859171621049,0.11009855785732588,0.9120494358133614,0.08514953073376486,2.3283255141502197,0.23860565649723386,2.95,0.2236067977499789,0.0,0.0,0.05,0.22360679774997888,0.95,0.22360679774997907,2.0,0.0,1.95,0.22360679774997907,0.05,0.22360679774997888,10.2,0.41039134083406154,0.9904761904761905,0.019542444801622,1.0,0.0
1000,original,20,0.7016194249914147,0.06434027930764419,0.7930326369599394,0.02178401158997436,3.373149064249992,0.417163692079241,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,10.1,0.3077935056255463,0.9952380952380953,0.014656833601216501,1.0,0.0
