design,seed,n,d,d_info,delta,status,error,method,ARI,NMI,runtime_sec,final_K,feature_f1_thresh,feature_f1_top_union,active_dims,feature_auroc,feature_auprc,S12_mean_gate,S12_top_recall,S13_mean_gate,S13_top_recall,S23_mean_gate,S23_top_recall,noise_mean_gate,gate_signal_noise_gap
global_support,1,600,200,15,1.0,ok,,K-means,0.9900041668585104,0.9808938144286627,0.22419921300024725,3,,,,,,,,,,,,,
global_support,1,600,200,15,1.0,ok,,Diag-GMM,0.9900041668585104,0.9808938144286627,0.14559195899892075,3,,,,,,,,,,,,,
global_support,1,600,200,15,1.0,ok,,DIVI-Info,0.9751548572366224,0.9564690760498729,5.741774304000501,3,0.6,0.6666666666666666,25.0,0.94990990990991,0.8046254427147681,0.945728600025177,1.0,0.9346745610237122,1.0,0.4835171699523926,0.0,0.2838669717311859,0.5041064023971558
global_support,2,600,200,15,1.0,ok,,K-means,0.9800962940103582,0.9639095588301363,0.12198030500076129,3,,,,,,,,,,,,,
global_support,2,600,200,15,1.0,ok,,Diag-GMM,0.9751799406720221,0.9572628471603155,0.10762980499930563,3,,,,,,,,,,,,,
global_support,2,600,200,15,1.0,ok,,DIVI-Info,0.9702139218804839,0.947718560119995,2.8946575480003958,3,0.7894736842105263,1.0,23.0,1.0,1.0,0.9446271061897278,1.0,0.9447320699691772,1.0,0.9411568641662598,1.0,0.21378539502620697,0.7297199964523315
global_support,3,600,200,15,1.0,ok,,K-means,0.9553647780937442,0.9232936594274673,0.14641395199942053,3,,,,,,,,,,,,,
global_support,3,600,200,15,1.0,ok,,Diag-GMM,0.9652215240886445,0.9373822025727788,0.10167900499982352,3,,,,,,,,,,,,,
global_support,3,600,200,15,1.0,ok,,DIVI-Info,0.9603552966621728,0.9328463106104864,3.0987002090005262,3,0.9090909090909091,1.0,18.0,1.0,1.0,0.9481534957885742,1.0,0.9454770088195801,1.0,0.9440011978149414,1.0,0.2007424682378769,0.745134711265564
global_support,4,600,200,15,1.0,ok,,K-means,0.9214261386105196,0.8738513270859991,0.10525089099974139,3,,,,,,,,,,,,,
