design,method,n,d,ARI_mean,ARI_std,ARI_count,NMI_mean,NMI_std,NMI_count,feature_f1_thresh_mean,feature_f1_thresh_std,feature_f1_thresh_count,feature_f1_top_union_mean,feature_f1_top_union_std,feature_f1_top_union_count,active_dims_mean,active_dims_std,active_dims_count,feature_auroc_mean,feature_auroc_std,feature_auroc_count,feature_auprc_mean,feature_auprc_std,feature_auprc_count,S12_mean_gate_mean,S12_mean_gate_std,S12_mean_gate_count,S13_mean_gate_mean,S13_mean_gate_std,S13_mean_gate_count,S23_mean_gate_mean,S23_mean_gate_std,S23_mean_gate_count,noise_mean_gate_mean,noise_mean_gate_std,noise_mean_gate_count,gate_signal_noise_gap_mean,gate_signal_noise_gap_std,gate_signal_noise_gap_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_K_mean,final_K_std,final_K_count
cluster_specific,DIVI-Info,600,200,0.9753986990579915,0.012726225359695578,20,0.9572398387974342,0.019917012237754002,20,0.8636514357779838,0.08789641656908233,20,0.99,0.04472135954999578,20,19.85,3.5729244987382827,20,0.9981081081081081,0.008460797752701898,20,0.9937941396365308,0.027753451263176757,20,0.9366934418678283,0.02661429834630729,20,0.9243671953678131,0.08759697237395879,20,0.9389583796262742,0.024203984652786278,20,0.22050673589110376,0.0198655725738586,20,0.7128329396247863,0.05323057103163149,20,2.5357581102997755,0.2821980700135717,20,3.0,0.0,20
cluster_specific,Diag-GMM,600,200,0.971166435537801,0.010213384921212675,20,0.9497056808696989,0.016936024994023382,20,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.10295894095015683,0.019899248730557935,20,3.0,0.0,20
cluster_specific,K-means,600,200,0.965259551099588,0.01105508116761694,20,0.9402960218971226,0.017719337455011863,20,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.1350172198501241,0.02807680389325454,20,3.0,0.0,20
global_support,DIVI-Info,600,200,0.9714258287372527,0.008761819148305905,20,0.949545533107418,0.014922057869398986,20,0.8698836355811039,0.09672086774402958,20,0.9766666666666666,0.07880689256524129,20,19.35,3.183427480926146,20,0.996972972972973,0.01132061739855211,20,0.9870747064791727,0.04519869355360054,20,0.9442564159631729,0.002862678068773656,20,0.9271786272525787,0.07379144564027201,20,0.921235790848732,0.1030819907063817,20,0.22029588297009467,0.02128440474348096,20,0.7105944007635117,0.061272228689671866,20,2.796337452000171,0.774430608765231,20,3.0,0.0,20
global_support,Diag-GMM,600,200,0.9682260093356921,0.010291046790358077,20,0.9445981658005822,0.016510315867808954,20,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.10966972430014721,0.01981305560137255,20,3.0,0.0,20
global_support,K-means,600,200,0.9596695259751936,0.01677718277130142,20,0.9315202102940996,0.026401737376608184,20,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.13029350315000557,0.03228589622791148,20,3.0,0.0,20
